時間,小時,平均車速,交通量,週次,週次標註
1/1,0,85.0322197,9249,1,0
1/1,1,85.39214821,9068,1,0
1/1,2,85.18121344,8719,1,0
1/1,3,85.36177312,8392,1,0
1/1,4,85.09773651,8615,1,0
1/1,5,85.2832878,8419,1,0
1/1,6,85.256781,9475,1,0
1/1,7,84.54713629,9568,1,0
1/1,8,84.31739583,9600,1,0
1/1,9,83.79395765,10294,1,0
1/1,10,83.95551687,10341,1,0
1/1,11,84.23688485,10465,1,0
1/1,12,84.41067782,10283,1,0
1/1,13,84.06406445,10427,1,0
1/1,14,83.62909056,10512,1,0
1/1,15,83.68779893,10663,1,0
1/1,16,84.33193195,10228,1,0
1/1,17,84.65180534,9555,1,0
1/1,18,85.06250717,8719,1,0
1/1,19,85.05626364,8709,1,0
1/1,20,85.44968214,8337,1,0
1/1,21,85.53914634,8200,1,0
1/1,22,85.96209613,8759,1,0
1/1,23,86.28763412,9227,1,0
1/2,0,84.95087266,9282,2,0
1/2,1,85.27664947,9109,2,0
1/2,2,85.07966625,8749,2,0
1/2,3,85.2671176,8427,2,0
1/2,4,84.978369,8645,2,0
1/2,5,85.23692016,8429,2,0
1/2,6,85.18267915,9503,2,0
1/2,7,84.45993357,9634,2,0
1/2,8,84.27312319,9644,2,0
1/2,9,83.72966692,10328,2,0
1/2,10,83.9229581,10358,2,0
1/2,11,84.20072333,10507,2,0
1/2,12,84.34143743,10324,2,0
1/2,13,84.01379442,10439,2,0
1/2,14,83.56952635,10514,2,0
1/2,15,83.61612571,10691,2,0
1/2,16,84.25255375,10279,2,0
1/2,17,84.56171101,9585,2,0
1/2,18,84.9995428,8749,2,0
1/2,19,84.99611206,8745,2,0
1/2,20,85.35134168,8385,2,0
1/2,21,85.44229835,8232,2,0
1/2,22,85.87821025,8761,2,0
1/2,23,86.20344119,9241,2,0
1/3,0,85.0332428,9205,3,0
1/3,1,85.37667367,9037,3,0
1/3,2,85.18721934,8685,3,0
1/3,3,85.38313627,8373,3,0
1/3,4,85.11780502,8565,3,0
1/3,5,85.33353236,8374,3,0
1/3,6,85.30192878,9436,3,0
1/3,7,84.56307628,9544,3,0
1/3,8,84.34765788,9564,3,0
1/3,9,83.81667317,10244,3,0
